"Name","kernel_size","lr","num_blocks","optimizer","train_loss","val_loss"
"cool-sweep-9","3","0.00001","3","sgd","1957.8435229659535","1686.4319419049202"
"daily-sweep-13","5","0.000001","2","sgd","2050.8002195220274","2204.51295828312"
"scarlet-sweep-15","5","0.000001","3","sgd","2424.2021509477045","2493.208225980718"
"tough-sweep-8","3","0.00001","2","adam","1898.9826390541696","2523.9503998452046"
"crisp-sweep-14","5","0.000001","2","adam","2526.473027388376","2603.556891258727"
"ethereal-sweep-2","3","0.000001","2","adam","2714.759894668103","2729.134221503075"
"devout-sweep-10","3","0.00001","3","adam","1921.8453122768708","2735.16717918883"
"northern-sweep-20","5","0.00001","2","adam","1803.1324877539212","2774.9161221118684"
"effortless-sweep-3","3","0.000001","3","sgd","2402.567987213948","3010.469675916306"
"vague-sweep-22","5","0.00001","3","adam","2077.137241058466","3088.731508944897"
"proud-sweep-19","5","0.00001","2","sgd","5875.252105782619","3198.672059404089"
"glamorous-sweep-1","3","0.000001","2","sgd","2391.4989719318237","3205.2547841173537"
"trim-sweep-4","3","0.000001","3","adam","4476.671011861553","5067.056573096742"
"northern-sweep-6","3","0.000001","4","adam","4588.972500617324","5362.916909075798"
"generous-sweep-17","5","0.000001","4","sgd","4548.335399014661","5393.396806432846"
"celestial-sweep-16","5","0.000001","3","adam","4445.578746043174","5446.127207654587"
"expert-sweep-5","3","0.000001","4","sgd","4573.472364694402","5668.640773042719"
"curious-sweep-11","3","0.00001","4","sgd","5719.788975107697","5703.322496779421"
"hardy-sweep-18","5","0.000001","4","adam","4522.967506240182","5786.49845983627"
"faithful-sweep-23","5","0.00001","4","sgd","5725.513846659606","5902.000197390293"
"smooth-sweep-24","5","0.00001","4","adam","4408.087815318867","6320.995015895113"
"sparkling-sweep-12","3","0.00001","4","adam","4413.316709519885","6519.709173973571"